Iteration,Subset_Size,Initial_Method,GuideTree_Method,RFFN,RFFP,SPFN,SPFP,Runtime,Replicate
1,25,clustalo,ftnoml,0.3464,0.3483,0.5195,0.4692,343,4
1,25,clustalo,ftnoml,0.2834,0.2848,0.2415,0.2249,608,5
1,25,clustalo,ftnoml,0.3044,0.3058,0.3597,0.3260,414,6
1,25,clustalo,ftnoml,0.3176,0.3193,0.2764,0.2531,442,7
1,25,clustalo,ftnoml,0.3111,0.3128,0.4220,0.3799,418,8
1,25,clustalo,ftnoml,0.3163,0.3173,0.4838,0.4330,466,9
2,25,clustalo,ftnoml,0.1212,0.1216,0.1180,0.1086,669,0
2,25,clustalo,ftnoml,0.1817,0.1842,0.2604,0.2408,526,1
2,25,clustalo,ftnoml,0.1575,0.1592,0.1676,0.1503,666,2
2,25,clustalo,ftnoml,0.1545,0.1562,0.1437,0.1248,605,3
2,25,clustalo,ftnoml,0.2405,0.2427,0.3341,0.3038,479,4
2,25,clustalo,ftnoml,0.1043,0.1061,0.1431,0.1273,814,5
2,25,clustalo,ftnoml,0.1805,0.1822,0.2148,0.1928,540,6
2,25,clustalo,ftnoml,0.1430,0.1451,0.1503,0.1305,598,7
2,25,clustalo,ftnoml,0.1877,0.1897,0.2923,0.2538,548,8
2,25,clustalo,ftnoml,0.2115,0.2127,0.3026,0.2492,612,9
3,25,clustalo,ftnoml,0.0906,0.0911,0.1142,0.1046,795,0
3,25,clustalo,ftnoml,0.1280,0.1306,0.1920,0.1747,634,1
3,25,clustalo,ftnoml,0.1073,0.1091,0.1333,0.1189,782,2
3,25,clustalo,ftnoml,0.1234,0.1251,0.1413,0.1122,717,3
3,25,clustalo,ftnoml,0.1777,0.1802,0.2883,0.2588,585,4
3,25,clustalo,ftnoml,0.0873,0.0891,0.1455,0.1285,958,5
3,25,clustalo,ftnoml,0.1194,0.1211,0.1762,0.1620,648,6
3,25,clustalo,ftnoml,0.1094,0.1116,0.1183,0.1103,718,7
3,25,clustalo,ftnoml,0.1490,0.1512,0.2600,0.2318,646,8
3,25,clustalo,ftnoml,0.1489,0.1502,0.1984,0.1781,728,9
4,25,clustalo,ftnoml,0.0866,0.0871,0.1187,0.1120,919,0
4,25,clustalo,ftnoml,0.1150,0.1176,0.1812,0.1662,738,1
4,25,clustalo,ftnoml,0.1008,0.1026,0.1393,0.1307,886,2
4,25,clustalo,ftnoml,0.1158,0.1176,0.1141,0.0930,823,3
4,25,clustalo,ftnoml,0.1576,0.1602,0.2499,0.2238,689,4
4,25,clustalo,ftnoml,0.0878,0.0896,0.1374,0.1252,1088,5
4,25,clustalo,ftnoml,0.1108,0.1126,0.1682,0.1553,754,6
4,25,clustalo,ftnoml,0.0998,0.1021,0.1206,0.1129,832,7
4,25,clustalo,ftnoml,0.1315,0.1336,0.2410,0.2093,744,8
4,25,clustalo,ftnoml,0.1178,0.1191,0.1998,0.1788,834,9
1,50,magus,ft,0.0771,0.0776,0.0993,0.0924,504,0
1,50,magus,ft,0.0813,0.0841,0.1359,0.1250,504,1
1,50,magus,ft,0.1028,0.1046,0.1397,0.1290,528,2
1,50,magus,ft,0.0817,0.0836,0.0813,0.0688,488,3
1,50,magus,ft,0.1933,0.1957,0.2064,0.1870,433,4
1,50,magus,ft,0.0612,0.0631,0.1219,0.1104,660,5
1,50,magus,ft,0.0928,0.0946,0.1354,0.1104,519,6
1,50,magus,ft,0.0963,0.0986,0.1095,0.1020,498,7
1,50,magus,ft,0.0863,0.0886,0.1704,0.1418,527,8
1,50,magus,ft,0.1268,0.1281,0.1624,0.1418,524,9
2,50,magus,ft,0.0546,0.0551,0.1135,0.1052,790,0
2,50,magus,ft,0.0592,0.0621,0.1351,0.1272,690,1
2,50,magus,ft,0.0732,0.0751,0.1463,0.1319,704,2
2,50,magus,ft,0.0532,0.0551,0.0882,0.0717,682,3
2,50,magus,ft,0.1160,0.1186,0.1797,0.1637,607,4
2,50,magus,ft,0.0481,0.0501,0.1387,0.1291,888,5
2,50,magus,ft,0.0657,0.0676,0.1333,0.1052,699,6
2,50,magus,ft,0.0692,0.0716,0.1120,0.1006,690,7
2,50,magus,ft,0.0612,0.0636,0.1484,0.1338,721,8
2,50,magus,ft,0.0732,0.0746,0.1536,0.1364,718,9
3,50,magus,ft,0.0526,0.0531,0.0973,0.0884,986,0
3,50,magus,ft,0.0557,0.0586,0.1320,0.1224,878,1
3,50,magus,ft,0.0697,0.0716,0.1267,0.1196,878,2
3,50,magus,ft,0.0446,0.0465,0.0745,0.0629,878,3
3,50,magus,ft,0.1024,0.1051,0.1971,0.1783,785,4
3,50,magus,ft,0.0461,0.0480,0.1227,0.1147,1110,5
3,50,magus,ft,0.0647,0.0666,0.1333,0.1147,885,6
3,50,magus,ft,0.0707,0.0731,0.1234,0.1105,886,7
3,50,magus,ft,0.0562,0.0586,0.1601,0.1251,917,8
3,50,magus,ft,0.0757,0.0771,0.1427,0.1286,904,9
4,50,magus,ft,0.0556,0.0561,0.1029,0.0945,1172,0
4,50,magus,ft,0.0532,0.0561,0.1442,0.1314,1062,1
4,50,magus,ft,0.0742,0.0761,0.1333,0.1237,1050,2
4,50,magus,ft,0.0517,0.0536,0.0890,0.0699,1068,3
4,50,magus,ft,0.1069,0.1096,0.1791,0.1617,959,4
4,50,magus,ft,0.0456,0.0475,0.1302,0.1094,1332,5
4,50,magus,ft,0.0597,0.0616,0.1385,0.1231,1069,6
4,50,magus,ft,0.0677,0.0701,0.1048,0.0887,1078,7
4,50,magus,ft,0.0562,0.0586,0.1543,0.1394,1105,8
4,50,magus,ft,0.0727,0.0741,0.1532,0.1320,1096,9
1,50,magus,ftnoml,0.0771,0.0776,0.0993,0.0924,504,0
1,50,magus,ftnoml,0.0813,0.0841,0.1359,0.1250,504,1
