Dataset,Replicate,Method,Iteration,Runtime
RNASim-10000,R1,magus_clustalo-iter0initi,0,54.7200
RNASim-10000,R1,magus_clustalo-iter1,1,961.5200
RNASim-10000,R1,magus_clustalo-iter1guide,1,6661.8900
RNASim-10000,R1,magus_clustalo-iter2,2,945.6200
RNASim-10000,R1,magus_clustalo-iter2guide,2,6251.9700
RNASim-10000,R1,magus_clustalo-iter3,3,959.1100
RNASim-10000,R1,magus_clustalo-iter3guide,3,6147.0400
RNASim-10000,R1,magus_clustalo-iter4,4,951.4300
RNASim-10000,R1,magus_default-iter0initi,0,1022.8300
RNASim-10000,R1,magus_default-iter1,1,1758.1300
RNASim-10000,R1,magus_magus-iter0initi,0,1019.0200
RNASim-10000,R1,magus_magus-iter1,1,938.7700
RNASim-10000,R1,magus_magus-iter1guide,1,6055.4200
RNASim-10000,R1,magus_magus-iter2,2,960.8900
RNASim-10000,R1,magus_magus-iter2guide,2,6068.5500
RNASim-10000,R1,magus_magus-iter3,3,993.1000
RNASim-10000,R1,magus_magus-iter3guide,3,6193.8700
RNASim-10000,R1,magus_magus-iter4,4,1004.6000
RNASim-10000,R2,magus_clustalo-iter0initi,0,56.9100
RNASim-10000,R2,magus_clustalo-iter1,1,965.3500
RNASim-10000,R2,magus_clustalo-iter1guide,1,6640.4000
RNASim-10000,R2,magus_clustalo-iter2,2,1017.8600
RNASim-10000,R2,magus_clustalo-iter2guide,2,6254.1100
RNASim-10000,R2,magus_clustalo-iter3,3,992.6400
RNASim-10000,R2,magus_clustalo-iter3guide,3,6286.2800
RNASim-10000,R2,magus_clustalo-iter4,4,1034.8100
RNASim-10000,R2,magus_default-iter0initi,0,1225.6000
RNASim-10000,R2,magus_default-iter1,1,1851.0700
RNASim-10000,R2,magus_magus-iter0initi,0,1021.9300
RNASim-10000,R2,magus_magus-iter1,1,1029.5600
RNASim-10000,R2,magus_magus-iter1guide,1,5961.1700
RNASim-10000,R2,magus_magus-iter2,2,980.7800
RNASim-10000,R2,magus_magus-iter2guide,2,6204.5400
RNASim-10000,R2,magus_magus-iter3,3,989.8000
RNASim-10000,R2,magus_magus-iter3guide,3,6248.6000
RNASim-10000,R2,magus_magus-iter4,4,1042.5600
RNASim-10000,R3,magus_clustalo-iter0initi,0,56.2000
RNASim-10000,R3,magus_clustalo-iter1,1,1014.7500
RNASim-10000,R3,magus_clustalo-iter1guide,1,6725.5200
RNASim-10000,R3,magus_clustalo-iter2,2,984.2900
RNASim-10000,R3,magus_clustalo-iter2guide,2,6230.0200
RNASim-10000,R3,magus_clustalo-iter3,3,971.5300
RNASim-10000,R3,magus_clustalo-iter3guide,3,6075.6500
RNASim-10000,R3,magus_clustalo-iter4,4,976.2000
RNASim-10000,R3,magus_default-iter0initi,0,1070.7100
RNASim-10000,R3,magus_default-iter1,1,1831.6600
RNASim-10000,R3,magus_magus-iter0initi,0,1096.6100
RNASim-10000,R3,magus_magus-iter1,1,1032.3200
RNASim-10000,R3,magus_magus-iter1guide,1,6330.3000
RNASim-10000,R3,magus_magus-iter2,2,1012.2700
RNASim-10000,R3,magus_magus-iter2guide,2,5973.9000
RNASim-10000,R3,magus_magus-iter3,3,997.4300
RNASim-10000,R3,magus_magus-iter3guide,3,6312.2200
RNASim-10000,R3,magus_magus-iter4,4,1030.3400
RNASim-10000,R4,magus_clustalo-iter0initi,0,57.5900
RNASim-10000,R4,magus_clustalo-iter1,1,987.4000
RNASim-10000,R4,magus_clustalo-iter1guide,1,6838.7800
RNASim-10000,R4,magus_clustalo-iter2,2,969.4200
RNASim-10000,R4,magus_clustalo-iter2guide,2,5876.1900
RNASim-10000,R4,magus_clustalo-iter3,3,1015.8300
RNASim-10000,R4,magus_clustalo-iter3guide,3,6138.0200
RNASim-10000,R4,magus_clustalo-iter4,4,1035.9900
RNASim-10000,R4,magus_default-iter0initi,0,1215.3600
RNASim-10000,R4,magus_default-iter1,1,1871.0600
RNASim-10000,R4,magus_magus-iter0initi,0,1074.2400
RNASim-10000,R4,magus_magus-iter1,1,999.6500
RNASim-10000,R4,magus_magus-iter1guide,1,5930.8400
RNASim-10000,R4,magus_magus-iter2,2,1018.6900
RNASim-10000,R4,magus_magus-iter2guide,2,6237.3100
RNASim-10000,R4,magus_magus-iter3,3,950.5100
RNASim-10000,R4,magus_magus-iter3guide,3,6176.3800
RNASim-10000,R4,magus_magus-iter4,4,997.4900
RNASim-10000,R5,magus_clustalo-iter0initi,0,56.2900
RNASim-10000,R5,magus_clustalo-iter1,1,1023.5900
RNASim-10000,R5,magus_clustalo-iter1guide,1,6869.2800
RNASim-10000,R5,magus_clustalo-iter2,2,957.5800
RNASim-10000,R5,magus_clustalo-iter2guide,2,6177.6600
RNASim-10000,R5,magus_clustalo-iter3,3,1012.7500
RNASim-10000,R5,magus_clustalo-iter3guide,3,6210.2900
RNASim-10000,R5,magus_clustalo-iter4,4,934.2400
RNASim-10000,R5,magus_default-iter0initi,0,1011.4500
RNASim-10000,R5,magus_default-iter1,1,1870.6200
RNASim-10000,R5,magus_magus-iter0initi,0,1096.4900
RNASim-10000,R5,magus_magus-iter1,1,1028.9700
RNASim-10000,R5,magus_magus-iter1guide,1,6114.2900
RNASim-10000,R5,magus_magus-iter2,2,942.8200
RNASim-10000,R5,magus_magus-iter2guide,2,6053.1800
RNASim-10000,R5,magus_magus-iter3,3,1034.1400
RNASim-10000,R5,magus_magus-iter3guide,3,6234.4700
RNASim-10000,R5,magus_magus-iter4,4,924.5100
RNASim-10000,R6,magus_clustalo-iter0initi,0,56.8500
RNASim-10000,R6,magus_clustalo-iter1,1,946.5800
RNASim-10000,R6,magus_clustalo-iter1guide,1,6670.4000
RNASim-10000,R6,magus_clustalo-iter2,2,968.3200
RNASim-10000,R6,magus_clustalo-iter2guide,2,6284.1300
RNASim-10000,R6,magus_clustalo-iter3,3,986.8200
RNASim-10000,R6,magus_clustalo-iter3guide,3,6249.4700
RNASim-10000,R6,magus_clustalo-iter4,4,885.6900
RNASim-10000,R6,magus_default-iter0initi,0,1051.0800
RNASim-10000,R6,magus_default-iter1,1,1809.0800
RNASim-10000,R6,magus_magus-iter0initi,0,1113.6000
RNASim-10000,R6,magus_magus-iter1,1,931.2600
RNASim-10000,R6,magus_magus-iter1guide,1,6188.6000
RNASim-10000,R6,magus_magus-iter2,2,941.6700
RNASim-10000,R6,magus_magus-iter2guide,2,6261.6100
RNASim-10000,R6,magus_magus-iter3,3,908.4900
RNASim-10000,R6,magus_magus-iter3guide,3,5903.4400
RNASim-10000,R6,magus_magus-iter4,4,918.1100
RNASim-10000,R7,magus_clustalo-iter0initi,0,55.4600
RNASim-10000,R7,magus_clustalo-iter1,1,967.1500
RNASim-10000,R7,magus_clustalo-iter1guide,1,6559.2400
RNASim-10000,R7,magus_clustalo-iter2,2,951.4800
RNASim-10000,R7,magus_clustalo-iter2guide,2,6218.9400
RNASim-10000,R7,magus_clustalo-iter3,3,924.1600
RNASim-10000,R7,magus_clustalo-iter3guide,3,5809.0100
RNASim-10000,R7,magus_clustalo-iter4,4,927.3400
RNASim-10000,R7,magus_default-iter0initi,0,1061.4900
RNASim-10000,R7,magus_default-iter1,1,1803.1300
RNASim-10000,R7,magus_magus-iter0initi,0,945.5800
RNASim-10000,R7,magus_magus-iter1,1,986.4200
RNASim-10000,R7,magus_magus-iter1guide,1,6046.6600
RNASim-10000,R7,magus_magus-iter2,2,959.6400
RNASim-10000,R7,magus_magus-iter2guide,2,6175.6000
RNASim-10000,R7,magus_magus-iter3,3,972.0400
RNASim-10000,R7,magus_magus-iter3guide,3,6230.7600
RNASim-10000,R7,magus_magus-iter4,4,964.6000
RNASim-10000,R8,magus_clustalo-iter0initi,0,58.0500
RNASim-10000,R8,magus_clustalo-iter1,1,1049.2000
RNASim-10000,R8,magus_clustalo-iter1guide,1,6892.0700
RNASim-10000,R8,magus_clustalo-iter2,2,943.1700
RNASim-10000,R8,magus_clustalo-iter2guide,2,5862.3800
RNASim-10000,R8,magus_clustalo-iter3,3,981.1700
RNASim-10000,R8,magus_clustalo-iter3guide,3,6316.0800
RNASim-10000,R8,magus_clustalo-iter4,4,916.3300
RNASim-10000,R8,magus_default-iter0initi,0,1025.7900
RNASim-10000,R8,magus_default-iter1,1,1804.1100
RNASim-10000,R8,magus_magus-iter0initi,0,1086.6200
RNASim-10000,R8,magus_magus-iter1,1,933.3300
RNASim-10000,R8,magus_magus-iter1guide,1,6137.5400
RNASim-10000,R8,magus_magus-iter2,2,1001.4000
RNASim-10000,R8,magus_magus-iter2guide,2,6217.0800
