dataset,replicate,method,iteration,runtime
RNASim-10000,R8,magus_magus-iter4,4,27021.3100
RNASim-10000,R8,muscle,-1,39745.0800
RNASim-10000,R8,pasta-iter3,3,6645.7000
RNASim-10000,R9,clustalo,-1,8734.0400
RNASim-10000,R9,mafft,-1,90.8300
RNASim-10000,R9,magus_clustalo-iter0,0,144.9400
RNASim-10000,R9,magus_clustalo-iter1,1,8155.6900
RNASim-10000,R9,magus_clustalo-iter2,2,15331.5700
RNASim-10000,R9,magus_clustalo-iter3,3,22552.2400
RNASim-10000,R9,magus_clustalo-iter4,4,23543.0400
RNASim-10000,R9,magus_default-iter0,0,2165.3200
RNASim-10000,R9,magus_default-iter1,1,5866.6800
RNASim-10000,R9,magus_magus-iter0,0,4739.8900
RNASim-10000,R9,magus_magus-iter1,1,11917.8800
RNASim-10000,R9,magus_magus-iter2,2,19249.3200
RNASim-10000,R9,magus_magus-iter3,3,26441.4500
RNASim-10000,R9,magus_magus-iter4,4,27458.4900
RNASim-10000,R9,muscle,-1,39052.1000
RNASim-10000,R9,pasta-iter3,3,7153.3500
ROSE-1000L1,R0,clustalo,-1,564.2600
ROSE-1000L1,R0,mafft,-1,17.8100
ROSE-1000L1,R0,magus_clustalo-iter0,0,23.3700
ROSE-1000L1,R0,magus_clustalo-iter1,1,504.7100
ROSE-1000L1,R0,magus_clustalo-iter2,2,957.0500
ROSE-1000L1,R0,magus_clustalo-iter3,3,1413.6000
ROSE-1000L1,R0,magus_clustalo-iter4,4,1797.3000
ROSE-1000L1,R0,magus_default-iter0,0,486.3200
ROSE-1000L1,R0,magus_default-iter1,1,1047.8200
ROSE-1000L1,R0,magus_magus-iter0,0,702.7400
ROSE-1000L1,R0,magus_magus-iter1,1,860.4000
ROSE-1000L1,R0,magus_magus-iter2,2,1026.6000
ROSE-1000L1,R0,magus_magus-iter3,3,1194.4700
ROSE-1000L1,R0,magus_magus-iter4,4,1319.9200
ROSE-1000L1,R0,muscle,-1,3549.7000
ROSE-1000L1,R0,pasta-iter3,3,835.7300
ROSE-1000L1,R1,clustalo,-1,513.9200
ROSE-1000L1,R1,mafft,-1,17.8300
ROSE-1000L1,R1,magus_clustalo-iter0,0,23.7700
ROSE-1000L1,R1,magus_clustalo-iter1,1,492.4900
ROSE-1000L1,R1,magus_clustalo-iter2,2,907.7900
ROSE-1000L1,R1,magus_clustalo-iter3,3,1302.8500
ROSE-1000L1,R1,magus_clustalo-iter4,4,1679.7000
ROSE-1000L1,R1,magus_default-iter0,0,528.6800
ROSE-1000L1,R1,magus_default-iter1,1,1177.2400
