Dataset,Replicate,Method,Iteration,Runtime
RNASim-10000,R3,magus_magus-iter4,4,23785.3900
RNASim-10000,R4,magus_clustalo-iter0initi,0,57.5900
RNASim-10000,R4,magus_clustalo-iter1,1,1044.9900
RNASim-10000,R4,magus_clustalo-iter1guide,1,7883.7700
RNASim-10000,R4,magus_clustalo-iter2,2,8853.1900
RNASim-10000,R4,magus_clustalo-iter2guide,2,14729.3800
RNASim-10000,R4,magus_clustalo-iter3,3,15745.2100
RNASim-10000,R4,magus_clustalo-iter3guide,3,21883.2300
RNASim-10000,R4,magus_clustalo-iter4,4,22919.2200
RNASim-10000,R4,magus_default-iter0initi,0,1215.3600
RNASim-10000,R4,magus_default-iter1,1,3086.4200
RNASim-10000,R4,magus_magus-iter0initi,0,1074.2400
RNASim-10000,R4,magus_magus-iter1,1,2073.8900
RNASim-10000,R4,magus_magus-iter1guide,1,8004.7300
RNASim-10000,R4,magus_magus-iter2,2,9023.4200
RNASim-10000,R4,magus_magus-iter2guide,2,15260.7300
RNASim-10000,R4,magus_magus-iter3,3,16211.2400
RNASim-10000,R4,magus_magus-iter3guide,3,22387.6200
RNASim-10000,R4,magus_magus-iter4,4,23385.1100
RNASim-10000,R5,magus_clustalo-iter0initi,0,56.2900
RNASim-10000,R5,magus_clustalo-iter1,1,1079.8800
RNASim-10000,R5,magus_clustalo-iter1guide,1,7949.1600
RNASim-10000,R5,magus_clustalo-iter2,2,8906.7400
RNASim-10000,R5,magus_clustalo-iter2guide,2,15084.4000
RNASim-10000,R5,magus_clustalo-iter3,3,16097.1500
RNASim-10000,R5,magus_clustalo-iter3guide,3,22307.4400
RNASim-10000,R5,magus_clustalo-iter4,4,23241.6800
RNASim-10000,R5,magus_default-iter0initi,0,1011.4500
RNASim-10000,R5,magus_default-iter1,1,2882.0700
RNASim-10000,R5,magus_magus-iter0initi,0,1096.4900
RNASim-10000,R5,magus_magus-iter1,1,2125.4600
RNASim-10000,R5,magus_magus-iter1guide,1,8239.7500
RNASim-10000,R5,magus_magus-iter2,2,9182.5700
RNASim-10000,R5,magus_magus-iter2guide,2,15235.7500
RNASim-10000,R5,magus_magus-iter3,3,16269.8900
RNASim-10000,R5,magus_magus-iter3guide,3,22504.3600
RNASim-10000,R5,magus_magus-iter4,4,23428.8700
RNASim-10000,R6,magus_clustalo-iter0initi,0,56.8500
RNASim-10000,R6,magus_clustalo-iter1,1,1003.4300
RNASim-10000,R6,magus_clustalo-iter1guide,1,7673.8300
RNASim-10000,R6,magus_clustalo-iter2,2,8642.1500
RNASim-10000,R6,magus_clustalo-iter2guide,2,14926.2800
RNASim-10000,R6,magus_clustalo-iter3,3,15913.1000
RNASim-10000,R6,magus_clustalo-iter3guide,3,22162.5700
RNASim-10000,R6,magus_clustalo-iter4,4,23048.2600
RNASim-10000,R6,magus_default-iter0initi,0,1051.0800
RNASim-10000,R6,magus_default-iter1,1,2860.1600
RNASim-10000,R6,magus_magus-iter0initi,0,1113.6000
RNASim-10000,R6,magus_magus-iter1,1,2044.8600
RNASim-10000,R6,magus_magus-iter1guide,1,8233.4600
RNASim-10000,R6,magus_magus-iter2,2,9175.1300
RNASim-10000,R6,magus_magus-iter2guide,2,15436.7400
RNASim-10000,R6,magus_magus-iter3,3,16345.2300
RNASim-10000,R6,magus_magus-iter3guide,3,22248.6700
RNASim-10000,R6,magus_magus-iter4,4,23166.7800
RNASim-10000,R7,magus_clustalo-iter0initi,0,55.4600
RNASim-10000,R7,magus_clustalo-iter1,1,1022.6100
RNASim-10000,R7,magus_clustalo-iter1guide,1,7581.8500
RNASim-10000,R7,magus_clustalo-iter2,2,8533.3300
RNASim-10000,R7,magus_clustalo-iter2guide,2,14752.2700
RNASim-10000,R7,magus_clustalo-iter3,3,15676.4300
RNASim-10000,R7,magus_clustalo-iter3guide,3,21485.4400
RNASim-10000,R7,magus_clustalo-iter4,4,22412.7800
RNASim-10000,R7,magus_default-iter0initi,0,1061.4900
RNASim-10000,R7,magus_default-iter1,1,2864.6200
RNASim-10000,R7,magus_magus-iter0initi,0,945.5800
RNASim-10000,R7,magus_magus-iter1,1,1932.0000
RNASim-10000,R7,magus_magus-iter1guide,1,7978.6600
RNASim-10000,R7,magus_magus-iter2,2,8938.3000
RNASim-10000,R7,magus_magus-iter2guide,2,15113.9000
RNASim-10000,R7,magus_magus-iter3,3,16085.9400
RNASim-10000,R7,magus_magus-iter3guide,3,22316.7000
RNASim-10000,R7,magus_magus-iter4,4,23281.3000
RNASim-10000,R8,magus_clustalo-iter0initi,0,58.0500
RNASim-10000,R8,magus_clustalo-iter1,1,1107.2500
RNASim-10000,R8,magus_clustalo-iter1guide,1,7999.3200
RNASim-10000,R8,magus_clustalo-iter2,2,8942.4900
RNASim-10000,R8,magus_clustalo-iter2guide,2,14804.8700
RNASim-10000,R8,magus_clustalo-iter3,3,15786.0400
RNASim-10000,R8,magus_clustalo-iter3guide,3,22102.1200
RNASim-10000,R8,magus_clustalo-iter4,4,23018.4500
RNASim-10000,R8,magus_default-iter0initi,0,1025.7900
RNASim-10000,R8,magus_default-iter1,1,2829.9000
RNASim-10000,R8,magus_magus-iter0initi,0,1086.6200
RNASim-10000,R8,magus_magus-iter1,1,2019.9500
RNASim-10000,R8,magus_magus-iter1guide,1,8157.4900
RNASim-10000,R8,magus_magus-iter2,2,9158.8900
